#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 3 0 MPI_File_close 0 2 4.8685e-04 6.9141e-06 4.7994e-04
ipm_noregion 1 0 MPI_File_close 0 2 4.8399e-04 5.9605e-06 4.7803e-04
ipm_noregion 6 0 MPI_File_close 0 2 4.7994e-04 6.9141e-06 4.7302e-04
ipm_noregion 4 0 MPI_File_close 0 2 7.3791e-04 5.9605e-06 7.3195e-04
ipm_noregion 5 0 MPI_File_close 0 2 4.8709e-04 1.3113e-05 4.7398e-04
ipm_noregion 0 0 MPI_File_close 0 2 4.4417e-04 7.1526e-06 4.3702e-04
ipm_noregion 2 0 MPI_File_close 0 2 9.3794e-04 1.2875e-05 9.2506e-04
ipm_noregion 7 0 MPI_File_close 0 2 4.8399e-04 5.9605e-06 4.7803e-04
ipm_noregion 4 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_File_write_at 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 3 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
