#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 4 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_File_read_at 268435456 1 9.6132e-01 9.6132e-01 9.6132e-01
ipm_noregion 6 0 MPI_File_read_at 268435456 1 8.7609e-01 8.7609e-01 8.7609e-01
ipm_noregion 7 0 MPI_File_read_at 268435456 1 3.4142e-01 3.4142e-01 3.4142e-01
ipm_noregion 3 0 MPI_File_read_at 268435456 1 9.6576e-01 9.6576e-01 9.6576e-01
ipm_noregion 5 0 MPI_File_read_at 268435456 1 9.6023e-01 9.6023e-01 9.6023e-01
ipm_noregion 0 0 MPI_File_read_at 268435456 1 9.6556e-01 9.6556e-01 9.6556e-01
ipm_noregion 1 0 MPI_File_read_at 268435456 1 9.6411e-01 9.6411e-01 9.6411e-01
ipm_noregion 2 0 MPI_File_read_at 268435456 1 9.6533e-01 9.6533e-01 9.6533e-01
ipm_noregion 2 0 MPI_Bcast 4 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 1 0 MPI_Bcast 4 1 1.1921e-06 1.1921e-06 1.1921e-06
ipm_noregion 0 0 MPI_Bcast 4 1 1.1921e-06 1.1921e-06 1.1921e-06
ipm_noregion 3 0 MPI_Bcast 4 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 5 0 MPI_Bcast 4 1 1.1921e-06 1.1921e-06 1.1921e-06
ipm_noregion 7 0 MPI_Bcast 4 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 6 0 MPI_Bcast 4 1 2.1458e-06 2.1458e-06 2.1458e-06
