#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 6 0 MPI_Comm_size 0 1 1.1921e-06 1.1921e-06 1.1921e-06
ipm_noregion 7 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 6 0 MPI_File_read_at 268435456 1 8.8349e-01 8.8349e-01 8.8349e-01
ipm_noregion 7 0 MPI_File_read_at 268435456 1 8.8246e-01 8.8246e-01 8.8246e-01
ipm_noregion 2 0 MPI_File_read_at 268435456 1 8.7663e-01 8.7663e-01 8.7663e-01
ipm_noregion 5 0 MPI_File_read_at 268435456 1 8.7883e-01 8.7883e-01 8.7883e-01
ipm_noregion 4 0 MPI_File_read_at 268435456 1 8.7966e-01 8.7966e-01 8.7966e-01
ipm_noregion 1 0 MPI_File_read_at 268435456 1 9.1483e-01 9.1483e-01 9.1483e-01
ipm_noregion 0 0 MPI_File_read_at 268435456 1 9.1329e-01 9.1329e-01 9.1329e-01
ipm_noregion 3 0 MPI_File_read_at 268435456 1 8.7698e-01 8.7698e-01 8.7698e-01
ipm_noregion 5 0 MPI_Bcast 4 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 2 0 MPI_Bcast 4 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 7 0 MPI_Bcast 4 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 6 0 MPI_Bcast 4 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 0 0 MPI_Bcast 4 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 3 0 MPI_Bcast 4 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 4 0 MPI_Bcast 4 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 1 0 MPI_Bcast 4 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 0 0 MPI_File_open 0 3 1.2024e-02 2.4328e-03 4.8761e-03
ipm_noregion 3 0 MPI_File_open 0 3 4.8729e-02 2.8210e-03 4.1040e-02
ipm_noregion 4 0 MPI_File_open 0 3 4.6051e-02 2.8181e-03 3.8360e-02
ipm_noregion 1 0 MPI_File_open 0 3 9.6879e-01 3.1760e-03 9.6074e-01
ipm_noregion 5 0 MPI_File_open 0 3 4.6885e-02 2.8181e-03 3.9194e-02
ipm_noregion 2 0 MPI_File_open 0 3 4.9074e-02 2.8210e-03 4.1386e-02
ipm_noregion 7 0 MPI_File_open 0 3 4.3229e-02 2.8141e-03 3.5555e-02
ipm_noregion 6 0 MPI_File_open 0 3 4.1820e-02 2.4350e-03 3.4519e-02
ipm_noregion 5 0 MPI_File_close 0 2 1.4848e+01 4.6015e-05 1.4848e+01
ipm_noregion 7 0 MPI_File_close 0 2 1.4848e+01 4.1962e-05 1.4848e+01
ipm_noregion 6 0 MPI_File_close 0 2 1.4848e+01 5.5075e-05 1.4848e+01
ipm_noregion 2 0 MPI_File_close 0 2 1.4848e+01 5.4836e-05 1.4848e+01
ipm_noregion 3 0 MPI_File_close 0 2 1.4848e+01 4.7922e-05 1.4848e+01
ipm_noregion 0 0 MPI_File_close 0 2 6.3324e-04 6.9141e-05 5.6410e-04
ipm_noregion 4 0 MPI_File_close 0 2 1.4848e+01 5.0068e-05 1.4848e+01
ipm_noregion 1 0 MPI_File_close 0 2 1.4848e+01 6.6996e-05 1.4848e+01
ipm_noregion 3 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Gather 268435456 1 1.2060e+00 1.2060e+00 1.2060e+00
ipm_noregion 2 0 MPI_Gather 268435456 1 1.2791e+00 1.2791e+00 1.2791e+00
ipm_noregion 7 0 MPI_Gather 268435456 1 1.2432e+00 1.2432e+00 1.2432e+00
ipm_noregion 6 0 MPI_Gather 268435456 1 1.0589e+00 1.0589e+00 1.0589e+00
ipm_noregion 0 0 MPI_Gather 268435456 1 1.3168e+00 1.3168e+00 1.3168e+00
ipm_noregion 3 0 MPI_Gather 268435456 1 1.2655e+00 1.2655e+00 1.2655e+00
ipm_noregion 1 0 MPI_Gather 268435456 1 3.4289e-01 3.4289e-01 3.4289e-01
ipm_noregion 4 0 MPI_Gather 268435456 1 1.2254e+00 1.2254e+00 1.2254e+00
ipm_noregion 5 4 MPI_Sendrecv 268435456 3 4.2252e-01 1.3601e-01 1.4946e-01
ipm_noregion 5 7 MPI_Sendrecv 268435456 2 6.7999e-01 3.3721e-01 3.4278e-01
ipm_noregion 5 1 MPI_Sendrecv 268435456 1 4.1352e-01 4.1352e-01 4.1352e-01
ipm_noregion 7 5 MPI_Sendrecv 268435456 2 7.1947e-01 3.5551e-01 3.6396e-01
ipm_noregion 7 3 MPI_Sendrecv 268435456 1 5.6041e-01 5.6041e-01 5.6041e-01
ipm_noregion 7 6 MPI_Sendrecv 268435456 3 6.5680e-01 1.5650e-01 2.9487e-01
ipm_noregion 6 2 MPI_Sendrecv 268435456 1 7.4244e-01 7.4244e-01 7.4244e-01
ipm_noregion 6 7 MPI_Sendrecv 268435456 3 4.4922e-01 1.4234e-01 1.6286e-01
ipm_noregion 6 4 MPI_Sendrecv 268435456 2 6.7537e-01 3.3191e-01 3.4347e-01
ipm_noregion 2 6 MPI_Sendrecv 268435456 1 3.2706e-01 3.2706e-01 3.2706e-01
ipm_noregion 2 0 MPI_Sendrecv 268435456 2 6.9327e-01 3.3250e-01 3.6077e-01
ipm_noregion 2 3 MPI_Sendrecv 268435456 3 4.7389e-01 1.3042e-01 1.9914e-01
ipm_noregion 0 1 MPI_Sendrecv 268435456 3 8.2536e-01 1.3778e-01 5.1123e-01
ipm_noregion 0 4 MPI_Sendrecv 268435456 1 3.3227e-01 3.3227e-01 3.3227e-01
ipm_noregion 0 2 MPI_Sendrecv 268435456 2 2.0374e+01 3.8199e-01 1.9992e+01
ipm_noregion 3 2 MPI_Sendrecv 268435456 3 6.3489e-01 1.2929e-01 3.4073e-01
ipm_noregion 3 7 MPI_Sendrecv 268435456 1 3.3267e-01 3.3267e-01 3.3267e-01
ipm_noregion 3 1 MPI_Sendrecv 268435456 2 6.8797e-01 3.3133e-01 3.5664e-01
ipm_noregion 4 6 MPI_Sendrecv 268435456 2 8.8015e-01 3.5326e-01 5.2690e-01
ipm_noregion 4 0 MPI_Sendrecv 268435456 1 5.8532e-01 5.8532e-01 5.8532e-01
ipm_noregion 4 5 MPI_Sendrecv 268435456 3 5.8232e-01 1.5463e-01 2.5191e-01
ipm_noregion 1 0 MPI_Sendrecv 268435456 3 6.2599e-01 1.3844e-01 3.3704e-01
ipm_noregion 1 3 MPI_Sendrecv 268435456 2 2.0287e+01 3.2369e-01 1.9964e+01
ipm_noregion 1 5 MPI_Sendrecv 268435456 1 3.3270e-01 3.3270e-01 3.3270e-01
ipm_noregion 4 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 0 0 MPI_Comm_rank 0 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 3 0 MPI_Comm_rank 0 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 2 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 7 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 6 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 5 0 MPI_Comm_rank 0 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 3 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
