#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 0 0 MPI_Gather 268435456 1 1.2347e+00 1.2347e+00 1.2347e+00
ipm_noregion 6 0 MPI_Gather 268435456 1 1.4315e+00 1.4315e+00 1.4315e+00
ipm_noregion 5 0 MPI_Gather 268435456 1 1.4080e+00 1.4080e+00 1.4080e+00
ipm_noregion 2 0 MPI_Gather 268435456 1 1.3579e+00 1.3579e+00 1.3579e+00
ipm_noregion 1 0 MPI_Gather 268435456 1 3.9305e-01 3.9305e-01 3.9305e-01
ipm_noregion 4 0 MPI_Gather 268435456 1 1.4232e+00 1.4232e+00 1.4232e+00
ipm_noregion 7 0 MPI_Gather 268435456 1 1.4190e+00 1.4190e+00 1.4190e+00
ipm_noregion 3 0 MPI_Gather 268435456 1 1.4308e+00 1.4308e+00 1.4308e+00
ipm_noregion 2 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_File_open 0 3 1.1087e-02 2.2581e-03 5.3630e-03
ipm_noregion 2 0 MPI_File_open 0 3 1.5884e-02 2.2581e-03 1.0160e-02
ipm_noregion 6 0 MPI_File_open 0 3 1.6588e-02 2.2571e-03 1.0864e-02
ipm_noregion 0 0 MPI_File_open 0 3 1.4341e-01 2.1281e-03 1.3781e-01
ipm_noregion 7 0 MPI_File_open 0 3 1.4942e-01 2.2571e-03 1.4370e-01
ipm_noregion 3 0 MPI_File_open 0 3 1.5209e-01 2.2590e-03 1.4636e-01
ipm_noregion 4 0 MPI_File_open 0 3 8.7130e-03 2.1250e-03 3.4661e-03
ipm_noregion 1 0 MPI_File_open 0 3 9.2019e-01 3.4709e-03 9.0930e-01
ipm_noregion 0 0 MPI_File_write_at 2147479552 1 1.1140e+01 1.1140e+01 1.1140e+01
ipm_noregion 4 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 7 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 3 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 6 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
